audit_id,conversation_id,turn_id,day_code,student_excerpt,reviewer_1_label,reviewer_2_label,final_label,review_note
A045,C0533,T1180,Lecture_material_ms4x7dx1_t0qyxg,Tóm tắt bài học và kiến thức cần nắm vững trong Day 4. Sau đó viết ra thành danh sách cho tôi,,,,
A046,C0169,T0536,Lecture_material_ms2044ey_k6uor3,meanning,,,,
A047,C0363,T0360,Lecture_material_ms2lb2ke_c1je8j,tóm tắt theo 3 ý chính bạn liệt kê,,,,
A048,C0565,T0298,Lecture_material_ms204v3b_r9mo78,PRD là gì,,,,
A049,C0469,T0100,Lecture_material_ms2039d0_hnxpxy,"hãy tóm tắt toàn bộ ý chính, các ý quan trọng trong tài liệu mã day01_302",,,,
A050,C0223,T1072,Lecture_material_ms204yc9_gxpg9y,Giải thích đoạn bôi đen ở Trang 27.,,,,
A051,C0549,T0885,Lecture_material_ms4x7dx1_t0qyxg,"Giải thích slide 35 thật dễ hiểu, hãy trả lời toàn bộ bằng tiếng việt",,,,
A052,C0343,T0278,Lecture_material_ms2044ey_k6uor3,Giải thích đoạn bôi đen ở Trang 13.,,,,
A053,C0118,T0716,New learning material,tóm tắt cho tôi buổi học hôm nay - buổi đầu tiên,,,,
A054,C0134,T0932,day02-c301,"tóm tắt cho tôi day02 slide nói về những vấn đề gì, tôi cần chuẩn bị những kiến thức gì cho buổi học này",,,,
A055,C0063,T0849,Lecture_material_ms2044ey_k6uor3,TẠO QUIZ ĐỂ TÔI HIỂU RÕ VÀ ÔN LẠI TOÀN BỘ SLIDE NÀY,,,,
A056,C0218,T0237,Lecture_material_ms203vsq_ob7vqp,tóm tắt material_95eb786b4d9e.pdf,,,,
A057,C0397,T0366,Lecture_material_ms2044ey_k6uor3,summary toàn bộ các slide cho tôi,,,,
A058,C0095,T0897,New learning material,tóm tắt slide này gồm những phần chính gì,,,,
A059,C0555,T0742,New learning material,giải thích slide 15 cho tôi,,,,
A060,C0452,T1162,day02-c301,giải thích ý nghĩa đoạn trích này trong bài giảng và cả trong bối cảnh chung thực tế,,,,
